"MovieId","Movie Rating","Duration","Gross_M","Worldwide LT Gross","Metascore","MovieAge","Action","comedy","horror","romance","sci_fi","drama","MovieLength","Votes_cat"
"299b7095f17490eea4075c3500627863af2b097f",6.2,108,127,180622424,45,20,0,0,0,1,0,0,"1hr 48mins","Adequate"
"29c44a460bc35a28b72bc385baf0bbe61be1e9d8",5.7,106,69,199850315,39,9,0,0,0,0,0,0,"1hr 46mins","Adequate"
"2a1220a74b60dfe9378862b53127419b524cff2b",6.8,103,477,1450026933,64,3,0,1,0,0,0,0,"1hr 43mins","Adequate"
"2a8168b79897fbb9558e0c88d6a0cb9f7a30a9fd",7.7,132,229,467365246,72,9,1,0,0,0,1,0,"2hr 12mins","Adequate"
"2abf1cc75b8e43a8d45bbc29a74b5578431afcb5",8.2,117,48,453210959,72,2,1,0,0,0,0,0,"1hr 57mins","Satisfactory"
"2ac54108df837625b05a67ea890af5eedf609a46",7.3,114,58,188133322,54,9,0,0,0,0,0,0,"1hr 54mins","Adequate"
"2af3a1b32d3e43d3d69366279e3c928989582844",6.7,126,133,414828246,61,9,1,0,0,0,1,0,"2hr 6mins","Adequate"
"2b0f650a09de4780534d36a314e2c3d4340205f0",6.6,90,149,554987477,65,11,0,1,0,0,0,0,"1hr 30mins","Adequate"
"2b398af3957a33a987450af557582d145d43d726",6.4,129,94,178866158,47,13,0,0,0,1,0,0,"2hr 9mins","Adequate"
"2b48706a6bc55ca6faf0eee700c7aa8fb4ef8c35",5.1,82,66,186167139,30,13,0,0,1,0,0,0,"1hr 22mins","Adequate"
"2b6040c6591db11164f554032ad7c944291f5485",6.5,141,515,1074149279,53,3,1,0,0,0,0,0,"2hr 21mins","Adequate"
"2baa3bd342c2ceb9dc8a0d15cac41be2d89d1c14",9.0,201,378,1146436214,94,19,1,0,0,0,0,0,"3hr 21mins","High"
"2be6b3bcb3e1d164fa5511fa3f131b7cb0a6e2f9",7.0,121,84,189176423,60,24,0,0,0,0,1,1,"2hr 1mins","Adequate"
"2d41d03a417f1ad8db54bd682cda0b25ece563bf",8.0,84,219,424967620,95,31,0,0,0,0,0,0,"1hr 24mins","Adequate"
"2d5b41e7e4fefe8d88c568b1b503250eec6e5307",8.2,100,381,940352645,90,19,0,1,0,0,0,0,"1hr 40mins","High"
"2d8539fc64193a7f5f6e6963cbdf13726574e475",7.5,167,78,193772504,72,20,0,0,0,0,0,0,"2hr 47mins","Adequate"
"2defb04128e6c6eb324e73bd790ae91b08437b9f",8.4,117,190,375540831,87,4,1,0,0,0,0,0,"1hr 57mins","Adequate"
"2e26b64ac48e0ce32c78bbd876760a951d7a1a01",6.9,106,219,549368315,62,10,0,1,0,0,0,0,"1hr 46mins","Adequate"
"2e3432b6a665a39d009cab0f12b1bca77084d6fa",7.1,124,118,240031274,67,32,1,0,0,0,0,0,"2hr 4mins","Adequate"
"2ea08978be2aec76cd0159186083d7a6bde45d8f",5.9,149,402,836303693,35,13,1,0,0,0,1,0,"2hr 29mins","Adequate"
"2ea81aa69e29a8dd6d9890ace683a6452455368f",6.8,85,85,250397798,48,19,0,1,0,0,0,0,"1hr 25mins","Adequate"
"2f0fc1995e6855e04ec50eba1c3ad81680b0d401",6.6,106,168,589580482,58,14,1,0,0,0,0,0,"1hr 46mins","Adequate"
"2f1160ab8f6e4bb267e9ce2aeb4e0888623df8fa",6.3,119,58,274650803,48,4,1,0,0,0,0,0,"1hr 59mins","Adequate"
"2f89821eed1ecd75e5e0c2c7785853fa08c570c2",5.6,115,55,240697856,36,6,1,0,0,0,1,0,"1hr 55mins","Adequate"
"2fbe41ae7adbf3135e226f03d170d6f6027690e3",6.1,121,2,544185156,48,4,1,0,0,0,0,0,"2hr 1mins","Low"
"2ff8d2014dd7f9f81a948ebbe78a31d60cdd65d8",6.8,136,94,250288523,63,24,1,1,0,0,0,0,"2hr 16mins","Adequate"
"300884eef0cb08a05a99573033ea7ace6cb0b32b",7.4,143,134,300478449,81,44,1,0,0,0,1,0,"2hr 23mins","Adequate"
"307109f1964bda24ff431e5db8c3fed39d5b8855",8.1,120,154,375709470,90,7,1,0,0,0,1,0,"2hr 0mins","Adequate"
"30be999a6381d929d5ef49a1540f8b304105393e",6.8,108,119,211468235,62,18,0,0,0,0,0,0,"1hr 48mins","Adequate"
"30c71e31ae9ce9f9c7aac6d7473d0dca35609347",5.7,106,155,333535934,40,17,1,0,0,0,0,0,"1hr 46mins","Adequate"
"30f6df6f0b557991e2b8e9e5b9cccbda687975cb",6.1,88,80,225132113,35,14,1,0,0,0,1,0,"1hr 28mins","Adequate"
"30f77fd4c594d7474a31642e657748254975ad2c",7.4,110,163,408837044,49,1,0,1,0,0,0,0,"1hr 50mins","Satisfactory"
"311689d924de9ec9e4d5ffc71a9c730fb9f3fe44",6.2,128,62,261119292,54,3,1,0,0,0,1,0,"2hr 8mins","Adequate"
